carrier_philosophy,adjuster_type,ia_skill_level,carrier_engineer,property_type,property_age_years,loss_type,is_catastrophe,geographic_setting,policy_type,total_insured_value,prior_claims_count,supplements_issued,carrier_estimate,demand_estimate,dispute_amount,dispute_percentage,pa_involved,pa_attorney,pa_firm_type,is_roof_dispute,coverage_dispute,line_items_disputed,trades_involved,mitigation_performed,mitigation_cost,mitigation_disputed_pct,complexity_class,estimated_timeline_days,award_amount,award_position_pct,carrier_to_award_delta,carrier_to_award_delta_pct,demand_to_award_delta,demand_to_award_delta_pct,appraisal_outcome
moderate,staff,,False,residential,21,wind,True,suburban,ACV,553112.68,2,2,98146.87,171418.34,73271.47,74.65,True,False,regional,False,True,58,1,True,4961.19,0.33,High-Complexity,184,161071.78,85.88,62924.91,64.11,10346.56,6.04,Policyholder Favorable
moderate,independent,medium,True,residential,32,wind,False,suburban,ACV,424542.33,2,0,52943.78,59796.04,6852.27,12.94,False,False,,True,False,11,3,False,0.0,0.0,High-Complexity,227,55606.32,38.86,2662.55,5.03,4189.72,7.01,Carrier Favorable
moderate,independent,low,False,residential,31,water,False,urban,RCV,475813.68,0,1,50333.93,90760.34,40426.41,80.32,True,False,regional,False,False,23,2,True,24923.72,0.45,High-Complexity,216,89053.72,95.78,38719.78,76.93,1706.62,1.88,Policyholder Favorable
moderate,independent,low,False,residential,20,fire,False,rural,RCV,369829.04,2,1,15051.14,45051.78,30000.64,199.32,True,False,local,False,False,43,11,True,14131.5,0.08,High-Complexity,167,31004.04,53.18,15952.9,105.99,14047.74,31.18,Split Decision
moderate,independent,high,False,residential,37,hurricane,True,suburban,RCV,430868.65,2,0,55657.5,79933.09,24275.58,43.62,False,False,,False,False,32,2,False,0.0,0.0,Moderate,62,57298.31,6.76,1640.81,2.95,22634.78,28.32,Carrier Favorable
moderate,staff,,False,residential,36,water,False,urban,RCV,336773.8,2,0,27917.89,70396.28,42478.39,152.15,True,False,local,False,False,69,2,True,15372.77,0.33,High-Complexity,247,55152.04,64.11,27234.15,97.55,15244.24,21.65,Policyholder Favorable
liberal,staff,,False,residential,6,wind,False,suburban,RCV,434658.53,1,1,62875.58,82769.07,19893.49,31.64,False,False,,True,False,7,2,False,0.0,0.0,Simple,36,72458.45,48.17,9582.86,15.24,10310.63,12.46,Split Decision
moderate,independent,medium,False,residential,18,wind,False,suburban,RCV,385875.79,1,1,39161.22,70616.28,31455.06,80.32,True,False,regional,False,False,52,1,False,0.0,0.0,Complex,158,54643.14,49.22,15481.92,39.53,15973.14,22.62,Split Decision
moderate,staff,,False,residential,18,hail,False,rural,RCV,510594.75,1,0,92259.21,178589.33,86330.12,93.57,True,True,regional,False,False,35,3,False,0.0,0.0,High-Complexity,187,140152.28,55.48,47893.06,51.91,38437.05,21.52,Split Decision
moderate,independent,medium,False,residential,17,wind,False,suburban,RCV,553970.7,0,0,76173.63,87762.73,11589.11,15.21,False,False,,True,False,19,3,False,0.0,0.0,Moderate,65,87560.64,98.26,11387.01,14.95,202.1,0.23,Policyholder Favorable
moderate,independent,medium,False,residential,31,hail,True,rural,ACV,267533.44,1,1,22586.44,45393.25,22806.81,100.98,True,False,local,False,False,32,2,False,0.0,0.0,Complex,121,35560.3,56.89,12973.87,57.44,9832.95,21.66,Split Decision
liberal,staff,,True,residential,25,hurricane,True,urban,RCV,467739.34,1,0,32436.24,57116.77,24680.52,76.09,True,True,local,True,False,9,3,True,2887.61,0.53,High-Complexity,155,46475.87,56.89,14039.63,43.28,10640.89,18.63,Split Decision
tight,independent,medium,False,residential,10,fire,False,suburban,ACV,461910.3,0,0,34938.1,126078.5,91140.41,260.86,True,True,national,False,False,46,5,True,9241.35,0.07,High-Complexity,178,126078.5,100.0,91140.41,260.86,-0.0,-0.0,Policyholder Favorable
tight,independent,medium,False,residential,21,wind,False,suburban,ACV,364201.93,0,1,26927.34,68132.0,41204.66,153.02,True,False,local,False,False,30,2,False,0.0,0.0,High-Complexity,253,59934.6,80.11,33007.26,122.58,8197.39,12.03,Policyholder Favorable
moderate,staff,,False,residential,19,water,False,urban,RCV,584106.54,1,1,64044.51,111084.17,47039.67,73.45,True,False,regional,False,False,66,5,False,0.0,0.0,Complex,155,88301.85,51.57,24257.35,37.88,22782.32,20.51,Split Decision
tight,independent,medium,True,residential,13,hurricane,True,suburban,ACV,580577.06,0,1,100898.43,243747.84,142849.41,141.58,True,False,local,True,False,24,2,False,0.0,0.0,Complex,127,179789.01,55.23,78890.58,78.19,63958.82,26.24,Split Decision
moderate,independent,high,False,residential,11,wind,False,rural,RCV,296873.38,0,1,42849.45,127794.69,84945.25,198.24,True,True,local,True,False,8,3,False,0.0,0.0,Complex,186,54811.92,14.08,11962.47,27.92,72982.77,57.11,Carrier Favorable
liberal,staff,,False,residential,8,hail,True,suburban,RCV,321489.54,2,0,41836.42,47746.18,5909.76,14.13,False,False,,True,False,24,3,False,0.0,0.0,Simple,59,47308.69,92.6,5472.27,13.08,437.49,0.92,Policyholder Favorable
tight,staff,,False,residential,20,water,False,urban,RCV,460346.56,0,2,90853.34,207780.26,116926.92,128.7,True,True,national,False,False,24,5,True,17165.06,0.55,High-Complexity,225,207780.26,100.0,116926.92,128.7,0.0,0.0,Policyholder Favorable
moderate,independent,medium,False,residential,16,hurricane,True,urban,RCV,465629.65,0,2,32391.76,94619.33,62227.57,192.11,True,True,regional,True,False,16,1,True,3346.34,0.18,Complex,96,43634.27,18.07,11242.51,34.71,50985.06,53.88,Carrier Favorable
tight,independent,low,False,residential,4,water,False,urban,RCV,331227.87,1,1,30751.76,92307.84,61556.08,200.17,True,True,regional,False,False,42,5,False,0.0,0.0,High-Complexity,257,92307.84,100.0,61556.08,200.17,0.0,0.0,Policyholder Favorable
moderate,independent,medium,False,residential,45,hail,True,suburban,RCV,403894.2,0,0,38352.18,47240.34,8888.16,23.18,False,False,,True,False,16,1,False,0.0,0.0,Simple,43,47240.34,100.0,8888.16,23.18,0.0,0.0,Policyholder Favorable
liberal,independent,high,False,residential,11,hail,True,suburban,RCV,249878.98,0,3,40916.53,55097.56,14181.03,34.66,False,False,,False,False,35,1,False,0.0,0.0,Simple,51,42663.25,12.32,1746.72,4.27,12434.31,22.57,Carrier Favorable
moderate,staff,,False,residential,19,wind,True,rural,RCV,521230.26,0,0,99630.49,268397.45,168766.97,169.39,True,False,national,True,False,5,3,False,0.0,0.0,Moderate,74,112939.08,7.89,13308.59,13.36,155458.37,57.92,Carrier Favorable
tight,staff,,False,residential,11,water,False,urban,RCV,406848.36,1,0,27244.58,85034.19,57789.6,212.11,True,True,national,False,False,44,3,True,20166.89,0.37,High-Complexity,210,85034.19,100.0,57789.6,212.11,0.0,0.0,Policyholder Favorable
moderate,independent,high,False,residential,37,vehicle_impact,False,suburban,RCV,431064.57,0,2,73747.24,133998.8,60251.57,81.7,True,False,national,False,False,38,5,False,0.0,0.0,Complex,71,103934.07,50.1,30186.83,40.93,30064.73,22.44,Split Decision
tight,independent,low,False,residential,13,hail,True,urban,RCV,252129.58,0,1,38091.54,157136.68,119045.14,312.52,True,True,regional,True,False,17,1,False,0.0,0.0,High-Complexity,194,50507.02,10.43,12415.47,32.59,106629.67,67.86,Carrier Favorable
liberal,staff,,False,residential,13,hurricane,True,suburban,RCV,584874.36,2,3,107876.08,146721.22,38845.14,36.01,True,True,local,False,False,27,1,False,0.0,0.0,Complex,146,125435.8,45.2,17559.72,16.28,21285.42,14.51,Split Decision
tight,staff,,False,residential,32,water,False,urban,ACV,597715.19,0,5,57618.93,206175.38,148556.46,257.83,True,True,national,False,True,74,3,True,9270.41,0.25,High-Complexity,206,174080.81,78.4,116461.88,202.12,32094.58,15.57,Policyholder Favorable
moderate,staff,,False,residential,32,wind,False,suburban,RCV,514939.54,0,3,94303.17,312819.93,218516.75,231.72,True,False,regional,True,False,11,2,False,0.0,0.0,Moderate,78,102974.11,3.97,8670.94,9.19,209845.81,67.08,Carrier Favorable
moderate,independent,high,False,residential,20,hail,False,suburban,ACV,559963.82,0,0,60568.29,145537.69,84969.4,140.29,True,False,local,True,False,9,1,False,0.0,0.0,Simple,55,76328.06,18.55,15759.77,26.02,69209.63,47.55,Carrier Favorable
liberal,staff,,False,residential,51,hail,True,suburban,ACV,226516.07,0,0,28215.61,40328.78,12113.17,42.93,False,False,,True,False,19,3,False,0.0,0.0,Simple,55,33774.15,45.89,5558.54,19.7,6554.63,16.25,Split Decision
liberal,staff,,False,residential,65,vehicle_impact,False,suburban,ACV,432942.98,3,0,75815.56,93873.65,18058.09,23.82,False,False,,False,False,17,4,False,0.0,0.0,Complex,140,78452.31,14.6,2636.74,3.48,15421.35,16.43,Carrier Favorable
moderate,independent,medium,False,residential,29,water,False,suburban,RCV,414476.91,0,0,28214.57,51078.57,22864.0,81.04,True,False,local,False,False,78,5,True,4096.16,0.43,High-Complexity,209,48666.95,89.45,20452.38,72.49,2411.63,4.72,Policyholder Favorable
tight,staff,,False,residential,21,wind,False,urban,RCV,359536.56,2,1,65525.96,198534.59,133008.62,202.99,True,True,regional,False,False,48,2,False,0.0,0.0,High-Complexity,151,198534.59,100.0,133008.62,202.99,0.0,0.0,Policyholder Favorable
moderate,independent,high,False,residential,12,water,False,urban,RCV,401287.68,0,3,68578.27,148411.99,79833.73,116.41,True,False,national,False,False,47,5,False,0.0,0.0,Complex,166,134309.86,82.34,65731.59,95.85,14102.13,9.5,Policyholder Favorable
moderate,staff,,False,residential,9,water,False,suburban,RCV,392268.04,0,3,29046.69,60109.89,31063.2,106.94,True,False,local,False,False,50,4,True,11800.65,0.17,Complex,113,45850.79,54.1,16804.09,57.85,14259.1,23.72,Split Decision
tight,independent,low,False,residential,29,fire,False,suburban,RCV,268061.06,0,1,34783.76,52612.86,17829.1,51.26,False,False,,False,False,135,9,True,14793.44,0.25,High-Complexity,236,46752.05,67.13,11968.29,34.41,5860.81,11.14,Policyholder Favorable
tight,staff,,False,residential,68,hail,False,rural,RCV,209258.71,0,1,34454.15,132561.84,98107.68,284.75,True,True,regional,True,False,18,1,False,0.0,0.0,High-Complexity,217,49000.37,14.83,14546.21,42.22,83561.47,63.04,Carrier Favorable
moderate,independent,medium,False,residential,16,hurricane,True,urban,RCV,356581.71,0,0,49414.42,55183.67,5769.24,11.68,False,False,,True,False,21,1,False,0.0,0.0,Simple,52,53982.48,79.18,4568.05,9.24,1201.19,2.18,Policyholder Favorable
moderate,staff,,False,residential,19,wind,False,urban,RCV,443183.08,0,0,77705.38,111093.21,33387.83,42.97,False,False,,True,False,12,3,False,0.0,0.0,Simple,53,85748.98,24.09,8043.6,10.35,25344.23,22.81,Carrier Favorable
liberal,staff,,False,residential,12,hail,False,suburban,RCV,377165.64,0,2,57878.04,79828.1,21950.06,37.92,False,False,,False,False,13,2,False,0.0,0.0,Simple,45,71786.45,63.36,13908.41,24.03,8041.65,10.07,Policyholder Favorable
tight,independent,low,False,residential,25,wind,False,rural,RCV,259098.53,0,1,30709.51,42563.47,11853.96,38.6,False,False,,True,True,9,1,True,2640.54,0.48,High-Complexity,191,42563.47,100.0,11853.96,38.6,0.0,0.0,Policyholder Favorable
liberal,staff,,False,residential,18,fire,False,suburban,ACV,245818.12,0,0,22104.89,37472.8,15367.91,69.52,True,False,regional,False,False,91,8,False,0.0,0.0,Complex,77,32006.68,64.43,9901.79,44.79,5466.12,14.59,Policyholder Favorable
liberal,staff,,False,residential,1,water,False,urban,RCV,464609.73,0,1,63047.97,80062.56,17014.59,26.99,True,False,local,False,True,34,2,False,0.0,0.0,Complex,167,73546.72,61.7,10498.75,16.65,6515.84,8.14,Policyholder Favorable
liberal,staff,,False,residential,34,hurricane,True,suburban,RCV,383463.18,1,0,55119.51,97619.93,42500.41,77.11,True,False,local,False,False,41,1,False,0.0,0.0,Simple,50,73613.02,43.51,18493.51,33.55,24006.9,24.59,Split Decision
moderate,independent,medium,False,residential,5,wind,True,urban,RCV,241509.88,1,0,25074.87,61539.99,36465.12,145.42,True,False,local,False,False,16,2,True,17155.68,0.16,Moderate,90,43226.16,49.78,18151.29,72.39,18313.83,29.76,Split Decision
tight,independent,high,False,residential,44,hail,False,urban,RCV,527642.93,0,1,94379.26,225971.77,131592.51,139.43,True,True,national,False,False,37,3,True,9245.19,0.35,High-Complexity,223,194661.11,76.21,100281.85,106.25,31310.66,13.86,Policyholder Favorable
liberal,independent,medium,False,residential,31,hail,False,urban,RCV,255292.83,0,2,31316.75,51406.88,20090.12,64.15,True,False,regional,True,False,8,2,False,0.0,0.0,Simple,39,43133.83,58.82,11817.08,37.73,8273.04,16.09,Split Decision
tight,staff,,False,residential,10,hurricane,True,suburban,RCV,420245.32,0,0,76500.28,111476.25,34975.97,45.72,False,False,,True,False,24,1,False,0.0,0.0,Simple,56,92433.26,45.55,15932.98,20.83,19042.99,17.08,Split Decision
moderate,independent,medium,False,residential,46,hurricane,True,urban,RCV,367948.15,0,0,49281.58,132721.74,83440.16,169.31,True,False,local,True,False,6,1,True,21185.11,0.47,Moderate,65,60137.85,13.01,10856.27,22.03,72583.89,54.69,Carrier Favorable
moderate,independent,low,False,residential,31,hail,False,urban,RCV,371729.11,0,2,38484.22,65023.97,26539.75,68.96,False,False,,False,False,45,3,True,17551.26,0.42,High-Complexity,181,65023.97,100.0,26539.75,68.96,0.0,0.0,Policyholder Favorable
moderate,staff,,False,residential,21,water,False,urban,RCV,480327.19,2,0,81380.82,178494.01,97113.19,119.33,True,False,local,False,False,54,3,True,7556.46,0.33,High-Complexity,258,130880.87,50.97,49500.05,60.83,47613.14,26.67,Split Decision
moderate,independent,medium,False,residential,12,hail,True,urban,ACV,261624.66,1,0,23542.79,30732.74,7189.95,30.54,False,False,,True,False,18,1,False,0.0,0.0,Simple,52,30675.62,99.21,7132.84,30.3,57.11,0.19,Policyholder Favorable
moderate,independent,medium,False,residential,14,hail,False,suburban,RCV,506132.97,1,0,41198.68,93043.44,51844.77,125.84,True,True,local,False,False,13,1,False,0.0,0.0,Complex,135,89607.72,93.37,48409.05,117.5,3435.72,3.69,Policyholder Favorable
moderate,independent,high,False,residential,49,vehicle_impact,False,suburban,RCV,467395.45,1,0,25219.51,44030.38,18810.87,74.59,False,False,,False,False,46,3,True,14446.72,0.05,Moderate,90,29343.22,21.92,4123.71,16.35,14687.16,33.36,Carrier Favorable
moderate,independent,medium,False,residential,47,water,False,suburban,RCV,299950.48,1,1,17362.53,38221.58,20859.05,120.14,False,False,,False,False,61,5,True,24751.27,0.28,High-Complexity,208,31983.99,70.1,14621.46,84.21,6237.59,16.32,Policyholder Favorable
moderate,independent,high,False,residential,16,hail,False,suburban,RCV,542514.05,0,2,43535.82,99615.14,56079.31,128.81,True,False,local,False,False,58,2,False,0.0,0.0,Complex,151,69903.56,47.02,26367.74,60.57,29711.58,29.83,Split Decision
moderate,independent,high,False,residential,57,hail,False,suburban,RCV,211790.54,0,2,30115.8,71648.82,41533.01,137.91,True,False,regional,False,False,30,1,False,0.0,0.0,Moderate,87,46831.95,40.25,16716.15,55.51,24816.86,34.64,Split Decision
moderate,staff,,False,residential,21,hurricane,True,urban,RCV,292909.35,0,2,47770.78,106403.76,58632.99,122.74,True,True,regional,False,False,47,2,True,13693.34,0.09,Complex,164,99828.74,88.79,52057.96,108.97,6575.02,6.18,Policyholder Favorable
moderate,independent,medium,False,residential,30,hurricane,True,suburban,RCV,382523.16,0,1,60086.5,170882.92,110796.43,184.39,True,True,local,True,False,20,3,False,0.0,0.0,Moderate,89,76218.32,14.56,16131.82,26.85,94664.6,55.4,Carrier Favorable
liberal,independent,high,False,residential,31,wind,False,suburban,ACV,526072.09,3,0,34664.67,52130.69,17466.01,50.39,True,False,national,True,False,21,2,False,0.0,0.0,Complex,203,44045.97,53.71,9381.29,27.06,8084.72,15.51,Split Decision
tight,independent,medium,False,residential,49,hail,False,rural,ACV,271778.1,0,3,16385.65,53086.64,36700.99,223.98,True,False,regional,False,False,51,1,True,15512.79,0.04,High-Complexity,228,43455.37,73.76,27069.72,165.2,9631.27,18.14,Policyholder Favorable
moderate,independent,low,False,residential,50,hail,False,urban,RCV,227692.05,0,0,11086.85,14042.13,2955.28,26.66,False,False,,False,False,21,3,False,0.0,0.0,Moderate,89,12909.39,61.67,1822.54,16.44,1132.74,8.07,Policyholder Favorable
liberal,staff,,False,residential,47,hurricane,True,urban,ACV,432872.29,0,0,22337.85,38107.42,15769.57,70.6,True,False,local,False,False,11,1,False,0.0,0.0,Simple,45,29293.01,44.1,6955.15,31.14,8814.42,23.13,Split Decision
tight,independent,low,True,residential,13,hail,True,urban,RCV,506867.26,1,1,63806.17,337335.54,273529.37,428.69,True,True,local,True,False,8,3,False,0.0,0.0,High-Complexity,204,337335.54,100.0,273529.37,428.69,0.0,0.0,Policyholder Favorable
moderate,staff,,False,residential,26,water,False,urban,RCV,376862.46,0,0,37514.44,103630.16,66115.72,176.24,True,True,regional,False,False,59,4,True,19056.87,0.23,High-Complexity,217,82797.13,68.49,45282.68,120.71,20833.04,20.1,Policyholder Favorable
tight,independent,medium,False,residential,21,fire,False,suburban,RCV,314932.13,0,1,39861.99,123028.66,83166.67,208.64,True,False,regional,False,False,160,4,True,7172.4,0.31,High-Complexity,253,123028.66,100.0,83166.67,208.64,0.0,0.0,Policyholder Favorable
tight,independent,medium,False,residential,4,water,False,urban,RCV,325210.14,1,2,26409.48,101379.71,74970.23,283.88,True,True,regional,False,False,40,4,True,12363.4,0.17,High-Complexity,214,97114.2,94.31,70704.73,267.72,4265.51,4.21,Policyholder Favorable
liberal,staff,,False,residential,32,hail,True,suburban,ACV,303102.09,0,0,24934.02,32459.69,7525.66,30.18,True,False,regional,False,False,59,1,False,0.0,0.0,Simple,30,28280.48,44.47,3346.46,13.42,4179.21,12.88,Split Decision
liberal,independent,high,False,residential,37,fire,False,urban,RCV,540755.19,1,0,51922.85,100715.65,48792.8,93.97,True,False,local,False,False,73,6,True,17823.15,0.48,High-Complexity,146,68239.97,33.44,16317.12,31.43,32475.68,32.24,Carrier Favorable
tight,independent,medium,False,residential,12,fire,False,suburban,ACV,308543.61,0,0,21991.59,57362.64,35371.05,160.84,True,False,local,False,False,150,7,True,14268.08,0.31,High-Complexity,250,52923.72,87.45,30932.13,140.65,4438.92,7.74,Policyholder Favorable
moderate,independent,medium,False,residential,21,water,False,suburban,ACV,513953.19,0,3,78855.17,207714.32,128859.15,163.41,True,False,local,False,False,41,5,True,17543.67,0.34,High-Complexity,248,175789.43,75.22,96934.25,122.93,31924.89,15.37,Policyholder Favorable
liberal,independent,high,False,residential,34,hurricane,True,suburban,ACV,220008.91,0,0,14906.0,21090.5,6184.5,41.49,False,False,,False,False,51,1,False,0.0,0.0,Moderate,60,17092.72,35.36,2186.72,14.67,3997.78,18.96,Carrier Favorable
moderate,independent,high,False,residential,5,hail,False,rural,RCV,424215.74,0,0,72499.52,123904.09,51404.57,70.9,True,False,local,False,False,49,3,True,21527.79,0.31,Complex,153,102543.06,58.45,30043.54,41.44,21361.03,17.24,Split Decision
moderate,independent,medium,False,residential,28,hurricane,True,rural,RCV,347977.65,0,1,63591.33,102954.78,39363.44,61.9,False,False,,True,False,13,1,True,14707.58,0.13,Moderate,76,80040.84,41.79,16449.5,25.87,22913.94,22.26,Split Decision
tight,staff,,False,residential,24,hail,False,rural,ACV,249007.66,0,1,35045.62,108036.3,72990.69,208.27,True,True,regional,False,False,50,3,True,11980.51,0.17,High-Complexity,172,108036.3,100.0,72990.69,208.27,0.0,0.0,Policyholder Favorable
liberal,independent,high,False,residential,17,hail,True,suburban,RCV,332354.84,0,1,42163.96,52909.54,10745.58,25.49,False,False,,False,False,37,3,False,0.0,0.0,Simple,51,45240.44,28.63,3076.48,7.3,7669.1,14.49,Carrier Favorable
moderate,staff,,False,residential,31,hail,False,suburban,RCV,357083.41,1,4,68908.2,169767.18,100858.98,146.37,True,True,national,True,True,7,2,True,15328.37,0.4,High-Complexity,204,77229.29,8.25,8321.1,12.08,92537.88,54.51,Carrier Favorable
moderate,independent,high,False,residential,18,water,False,suburban,RCV,202783.03,0,0,11006.66,19280.19,8273.53,75.17,False,False,,False,False,30,2,True,7984.86,0.11,Complex,151,16423.74,65.47,5417.08,49.22,2856.45,14.82,Policyholder Favorable
tight,independent,high,False,residential,32,water,False,suburban,RCV,239892.39,2,1,39489.63,97500.25,58010.61,146.9,True,True,national,False,False,65,2,True,7172.63,0.33,High-Complexity,88,77644.3,65.77,38154.66,96.62,19855.95,20.37,Policyholder Favorable
tight,independent,medium,False,residential,28,fire,False,suburban,ACV,309654.47,0,1,37828.34,105224.66,67396.32,178.16,True,True,regional,False,False,47,7,True,3307.33,0.59,High-Complexity,261,90410.5,78.02,52582.16,139.0,14814.17,14.08,Policyholder Favorable
moderate,staff,,False,residential,14,wind,False,suburban,RCV,393002.24,0,4,56984.08,117162.25,60178.17,105.61,True,True,local,False,False,11,3,False,0.0,0.0,Complex,148,103705.45,77.64,46721.38,81.99,13456.8,11.49,Policyholder Favorable
liberal,staff,,False,residential,30,water,False,suburban,RCV,205788.26,0,2,11272.77,26618.3,15345.53,136.13,False,False,,False,False,34,3,True,15044.75,0.33,Complex,95,21885.53,69.16,10612.76,94.15,4732.77,17.78,Policyholder Favorable
moderate,staff,,False,residential,13,fire,False,suburban,ACV,421412.35,1,3,29010.83,58473.88,29463.05,101.56,True,False,local,False,False,123,10,True,11008.33,0.55,High-Complexity,176,50888.17,74.25,21877.34,75.41,7585.71,12.97,Policyholder Favorable
moderate,staff,,False,residential,18,water,False,rural,RCV,207428.29,2,1,34100.8,72449.52,38348.72,112.46,True,False,local,False,False,55,5,True,23373.45,0.43,High-Complexity,201,61015.13,70.18,26914.33,78.93,11434.39,15.78,Policyholder Favorable
liberal,independent,high,False,residential,10,wind,False,suburban,ACV,547185.78,1,1,77199.39,110223.63,33024.24,42.78,True,False,regional,False,False,44,2,False,0.0,0.0,Moderate,60,84051.51,20.75,6852.13,8.88,26172.11,23.74,Carrier Favorable
tight,independent,low,False,residential,31,hail,False,urban,RCV,400558.59,2,1,62437.95,271309.97,208872.02,334.53,True,True,regional,True,False,14,3,True,17675.1,0.41,High-Complexity,203,77110.09,7.02,14672.13,23.5,194199.89,71.58,Carrier Favorable
liberal,independent,medium,False,residential,17,vehicle_impact,False,suburban,RCV,553247.76,0,1,87873.09,113586.26,25713.17,29.26,True,False,regional,False,False,12,3,False,0.0,0.0,Moderate,49,100836.33,50.41,12963.24,14.75,12749.93,11.22,Split Decision
moderate,independent,low,False,residential,14,fire,False,suburban,ACV,589551.11,0,3,42620.24,90075.55,47455.31,111.34,True,False,local,False,True,137,10,False,0.0,0.0,High-Complexity,244,79787.76,78.32,37167.53,87.21,10287.78,11.42,Policyholder Favorable
liberal,staff,,False,residential,79,wind,False,suburban,RCV,528444.21,0,0,76659.74,127087.91,50428.17,65.78,False,False,,True,False,5,2,True,20082.2,0.23,Simple,40,85971.9,18.47,9312.15,12.15,41116.01,32.35,Carrier Favorable
moderate,independent,low,False,residential,24,hail,False,urban,RCV,373769.3,0,2,35376.42,132883.68,97507.26,275.63,True,False,national,True,False,12,1,True,20979.94,0.09,Complex,88,52756.3,17.82,17379.88,49.13,80127.38,60.3,Carrier Favorable
liberal,staff,,False,residential,10,hail,False,suburban,RCV,440410.35,0,0,43398.66,49536.56,6137.9,14.14,False,False,,False,False,45,3,False,0.0,0.0,Simple,57,46648.65,52.95,3249.99,7.49,2887.91,5.83,Split Decision
tight,independent,high,False,residential,4,hurricane,True,urban,RCV,302164.17,1,0,15154.54,56225.65,41071.1,271.02,True,False,local,True,False,18,1,False,0.0,0.0,Moderate,75,31139.5,38.92,15984.96,105.48,25086.14,44.62,Carrier Favorable
moderate,independent,high,False,residential,10,water,False,urban,RCV,317859.56,0,1,49014.19,67354.42,18340.23,37.42,False,False,,False,True,72,5,True,10175.04,0.15,High-Complexity,229,59788.21,58.75,10774.02,21.98,7566.21,11.23,Split Decision
moderate,independent,medium,False,residential,13,hurricane,True,suburban,RCV,552685.07,1,1,78443.7,198841.19,120397.48,153.48,True,False,national,True,False,19,2,True,7822.5,0.48,Complex,178,87346.89,7.39,8903.19,11.35,111494.3,56.07,Carrier Favorable
moderate,staff,,False,residential,25,hail,False,suburban,ACV,546171.76,0,0,75102.95,107047.86,31944.91,42.53,False,False,,False,False,43,1,True,12013.96,0.24,Complex,140,100264.01,78.76,25161.06,33.5,6783.85,6.34,Policyholder Favorable
moderate,staff,,False,residential,7,hail,False,urban,RCV,379703.96,1,1,29449.55,98407.88,68958.33,234.16,True,True,national,True,True,10,3,False,0.0,0.0,High-Complexity,301,39555.87,14.66,10106.32,34.32,58852.01,59.8,Carrier Favorable
liberal,staff,,False,residential,38,hail,False,suburban,RCV,572191.04,0,0,46820.71,68978.81,22158.1,47.33,False,False,,False,False,23,3,False,0.0,0.0,Simple,32,61785.57,67.54,14964.86,31.96,7193.24,10.43,Policyholder Favorable
moderate,staff,,False,residential,14,wind,False,suburban,ACV,377577.98,1,3,51267.71,66139.4,14871.69,29.01,False,False,,True,False,22,2,False,0.0,0.0,Moderate,56,63942.1,85.22,12674.39,24.72,2197.3,3.32,Policyholder Favorable
tight,independent,low,False,residential,37,fire,False,rural,RCV,369074.77,1,0,30869.24,67854.37,36985.13,119.81,True,True,national,False,False,113,7,True,3604.41,0.25,High-Complexity,201,67854.37,100.0,36985.13,119.81,0.0,0.0,Policyholder Favorable
tight,independent,low,False,residential,17,vehicle_impact,False,urban,ACV,228580.55,0,1,10826.46,22461.79,11635.33,107.47,True,False,local,False,False,28,4,False,0.0,0.0,High-Complexity,189,21887.71,95.07,11061.25,102.17,574.08,2.56,Policyholder Favorable
liberal,independent,low,False,residential,19,hail,False,urban,RCV,292435.57,0,3,23134.76,30219.2,7084.44,30.62,True,False,local,False,False,32,3,False,0.0,0.0,Moderate,65,27627.48,63.42,4492.72,19.42,2591.72,8.58,Policyholder Favorable
tight,independent,low,False,residential,19,hurricane,True,rural,RCV,442477.41,0,2,44648.81,171796.06,127147.26,284.77,True,False,local,True,False,17,1,False,0.0,0.0,Complex,167,54290.28,7.58,9641.48,21.59,117505.78,68.4,Carrier Favorable
moderate,staff,,False,residential,29,hail,False,urban,RCV,453037.31,0,2,57246.92,107444.23,50197.31,87.69,True,False,regional,False,False,48,2,False,0.0,0.0,Complex,108,92240.74,69.71,34993.81,61.13,15203.5,14.15,Policyholder Favorable
moderate,independent,low,False,residential,36,water,False,suburban,RCV,371898.15,0,1,43198.6,126854.2,83655.59,193.65,True,False,regional,False,False,35,4,True,23956.66,0.08,High-Complexity,218,112921.4,83.35,69722.8,161.4,13932.79,10.98,Policyholder Favorable
moderate,independent,low,False,residential,16,hail,False,suburban,RCV,397297.4,2,0,49165.19,138868.67,89703.47,182.45,True,True,local,True,False,22,3,True,12333.8,0.17,High-Complexity,108,66267.41,19.07,17102.22,34.79,72601.25,52.28,Carrier Favorable
moderate,staff,,False,residential,13,wind,True,rural,RCV,405461.07,1,3,72302.99,239450.8,167147.81,231.18,True,True,regional,True,True,22,3,True,8544.43,0.49,High-Complexity,200,88893.45,9.93,16590.46,22.95,150557.35,62.88,Carrier Favorable
tight,staff,,False,residential,19,wind,False,urban,RCV,329929.64,0,1,57794.13,256761.59,198967.47,344.27,True,False,national,True,False,11,2,False,0.0,0.0,Complex,134,67665.65,4.96,9871.52,17.08,189095.95,73.65,Carrier Favorable
tight,independent,high,False,residential,6,hail,False,rural,RCV,497668.4,2,0,37839.77,43024.66,5184.89,13.7,False,False,,True,True,21,2,False,0.0,0.0,High-Complexity,263,43024.66,100.0,5184.89,13.7,0.0,0.0,Policyholder Favorable
